lambda L W U0 U1 U2 U3 L0 W0 L1 W1 L2 W2 L3 W3
0.857500 26445.764115 21577.515722 0.999994 0.332895 0.662960 0.999774 22100.763224 12447.767780 0.496090 1.487493 1.972541 5.931284 4342.532260 12878.400524
0.867000 26966.751450 21881.799864 0.999939 0.335851 0.667146 0.999819 22832.526035 12781.454673 0.505381 1.504552 1.961630 5.867814 4131.758404 12299.792424
0.876500 27029.812691 21591.857562 0.999957 0.338439 0.665372 0.999872 22730.435051 12671.398424 0.508580 1.517153 1.949201 5.875869 4296.919859 12860.721226
0.886000 27542.232855 21867.048780 0.999973 0.331436 0.668178 0.999476 23340.746924 13037.226478 0.497763 1.493040 2.051582 6.187309 4198.936586 12636.174199
0.895500 28630.167781 22498.403778 0.999974 0.334386 0.666091 0.999939 24256.809413 13374.503723 0.500361 1.508885 1.971700 5.881110 4370.886307 12948.464021
0.905000 28664.939025 22240.633565 0.999993 0.333340 0.676036 0.999700 24618.802007 13414.519332 0.500572 1.494834 2.079905 6.152674 4043.556542 12208.120787
0.914500 29361.691234 22479.344070 0.999992 0.338524 0.678644 0.999821 25138.923019 13702.707173 0.508616 1.511132 2.210715 6.592078 4220.048884 12451.495788
0.924000 29874.009384 22874.724220 0.999991 0.332515 0.681670 0.999878 25884.976103 13990.636982 0.491490 1.472588 2.178958 6.447265 3986.362833 12159.649694
0.933500 30018.901225 22686.676545 0.999958 0.334978 0.664948 0.999894 25697.838181 13819.390988 0.501961 1.501250 1.933549 5.793935 4318.627534 12977.562512
0.943000 30747.840968 23038.717916 0.999972 0.328233 0.669524 0.999964 26731.104061 14425.660280 0.493942 1.493802 1.990952 5.958626 4014.252014 11939.263614
0.952500 30614.366635 22856.009231 0.999966 0.334076 0.675603 0.999850 26462.643936 14138.473727 0.500678 1.487193 2.061236 6.129035 4149.160785 12542.196599
0.962000 31632.374089 23522.268769 0.999993 0.331962 0.662404 0.999950 27597.998299 14637.327953 0.498521 1.486023 1.925462 5.814478 4031.951806 12117.311957
0.971500 32260.423444 23583.399696 0.999999 0.330773 0.671784 0.999868 27915.486266 14740.921522 0.493879 1.484642 2.052719 6.138090 4342.390580 12979.399791
0.981000 32050.143442 23153.228844 0.999987 0.333791 0.654134 0.999561 27806.533429 14682.782150 0.499429 1.485291 1.884513 5.662942 4241.226071 12693.397075
0.990500 32878.485182 23534.027071 1.000000 0.330149 0.664582 0.999636 28790.532401 15055.484007 0.486655 1.472899 1.944907 5.807308 4085.521220 12290.755634
1.000000 33277.861530 23661.721552 0.999980 0.330888 0.666764 0.999449 29277.648619 15290.442077 0.496865 1.482693 2.003348 6.014618 3997.712699 12078.919760
