time njob nq
579.268 2 1
579.311 1 0
579.449 0 0
580.33 1 0
581.314 0 0
583.558 1 0
584.219 0 0
584.618 1 0
585.029 0 0
586.203 1 0
586.355 2 1
586.668 1 0
586.956 2 1
587.005 1 0
587.296 0 0
589.175 1 0
590.106 0 0
590.187 1 0
590.493 2 1
590.532 1 0
591.435 2 1
591.813 1 0
592.794 0 0
593.292 1 0
593.86 0 0
594.851 1 0
595.771 2 1
596.298 1 0
596.759 0 0
597.922 1 0
598.641 0 0
599.988 1 0
600.759 2 1
602.751 1 0
602.991 0 0
603.151 1 0
603.569 0 0
606.165 1 0
606.362 2 1
606.94 3 2
607.137 4 3
607.34 3 2
607.659 4 3
608.847 3 2
610.104 2 1
610.567 3 2
610.589 2 1
611.012 1 0
611.065 0 0
611.775 1 0
615.711 0 0
616.159 1 0
617.337 0 0
617.869 1 0
618.534 0 0
619.974 1 0
620.018 0 0
622.571 1 0
622.798 2 1
622.803 1 0
622.978 2 1
623.081 3 2
623.339 4 3
623.424 5 4
623.759 4 3
624.042 3 2
624.436 4 3
624.983 5 4
626.088 4 3
626.307 5 4
627.607 6 5
627.782 5 4
628.042 4 3
628.088 3 2
629.351 4 3
629.365 5 4
629.972 6 5
632.704 7 6
632.929 6 5
632.98 5 4
633.035 6 5
633.573 7 6
634.323 8 7
634.51 7 6
634.84 8 7
635.438 9 8
635.517 8 7
636.42 7 6
637.034 6 5
637.064 5 4
637.078 4 3
638.355 5 4
639.006 4 3
639.298 3 2
639.84 2 1
640.093 1 0
640.173 0 0
640.18 1 0
640.576 2 1
640.945 1 0
641.134 0 0
644.133 1 0
644.149 0 0
644.78 1 0
644.802 2 1
645.248 3 2
645.716 4 3
645.995 3 2
646.511 2 1
646.605 3 2
646.782 2 1
647.286 1 0
647.51 0 0
648.343 1 0
651.068 0 0
651.396 1 0
651.508 0 0
651.531 1 0
651.569 0 0
651.634 1 0
653.386 0 0
653.593 1 0
653.632 0 0
653.669 1 0
653.749 2 1
654.395 1 0
655.26 0 0
656.884 1 0
657.18 0 0
658.161 1 0
658.368 0 0
658.504 1 0
658.532 0 0
658.798 1 0
659.556 2 1
660.222 3 2
660.367 2 1
660.478 1 0
660.5 0 0
660.503 1 0
660.566 2 1
660.861 3 2
661.133 2 1
661.73 3 2
662.102 2 1
662.389 3 2
662.472 2 1
664.116 3 2
664.268 2 1
664.566 1 0
664.676 0 0
665.189 1 0
665.217 2 1
665.68 1 0
666.343 2 1
667.637 3 2
668.193 2 1
669.073 3 2
669.144 4 3
669.145 3 2
669.324 2 1
669.377 3 2
669.515 4 3
670.194 3 2
671.526 4 3
671.699 5 4
671.842 4 3
671.852 5 4
672.128 6 5
672.8 5 4
673.127 4 3
673.313 5 4
673.727 6 5
674.545 7 6
674.748 8 7
675.108 7 6
675.572 6 5
675.751 5 4
675.772 4 3
677.327 5 4
677.502 4 3
679.124 3 2
680.705 2 1
681.359 1 0
681.427 2 1
681.742 3 2
681.93 2 1
682.292 3 2
682.386 4 3
682.566 3 2
683.054 2 1
683.853 1 0
684.859 2 1
685.022 1 0
686.079 0 0
687.296 1 0
688.162 2 1
688.61 1 0
688.719 0 0
690.102 1 0
690.213 0 0
692.507 1 0
692.654 0 0
693.033 1 0
693.976 2 1
695.107 3 2
695.926 4 3
697.234 3 2
697.263 2 1
697.385 1 0
697.587 2 1
698.047 3 2
698.604 2 1
699.75 3 2
700.488 4 3
701.199 5 4
701.969 6 5
703.223 5 4
703.387 6 5
703.387 5 4
703.544 6 5
703.795 5 4
704.463 4 3
705.109 3 2
705.137 2 1
705.312 3 2
706.308 2 1
706.524 1 0
706.665 0 0
708.074 1 0
709.015 0 0
711.581 1 0
712.148 0 0
712.192 1 0
712.44 0 0
717.214 1 0
717.449 2 1
717.524 3 2
718.032 2 1
718.304 3 2
718.919 4 3
719.595 3 2
719.626 2 1
720.599 1 0
720.694 0 0
721.032 1 0
721.47 2 1
721.8 3 2
722.753 2 1
722.813 3 2
724.331 4 3
725.304 3 2
725.476 4 3
726.13 5 4
729.248 4 3
729.926 5 4
729.932 4 3
730.859 3 2
731.032 2 1
731.167 1 0
731.962 0 0
732 1 0
733.467 2 1
733.916 3 2
733.974 2 1
734.492 3 2
735.044 4 3
736.462 3 2
736.873 4 3
737.443 5 4
737.822 4 3
737.832 5 4
738.48 4 3
738.654 5 4
738.673 4 3
739.685 5 4
740.781 4 3
741.046 5 4
741.729 6 5
741.965 7 6
742.726 6 5
743.097 5 4
743.991 6 5
744.665 7 6
745.532 6 5
746.224 5 4
746.425 4 3
746.451 3 2
746.459 2 1
746.614 1 0
747.056 0 0
748.185 1 0
748.711 2 1
749.319 1 0
750.34 0 0
751.13 1 0
751.156 2 1
751.229 1 0
751.278 0 0
753.275 1 0
753.661 0 0
757.257 1 0
757.291 2 1
757.548 3 2
758.733 2 1
759.205 3 2
759.312 2 1
760.125 3 2
761.969 2 1
762.31 3 2
762.577 4 3
763.302 5 4
763.558 6 5
763.74 5 4
764.101 6 5
764.575 5 4
764.982 6 5
764.996 7 6
766.408 6 5
767.189 5 4
767.323 6 5
767.478 7 6
768.148 6 5
768.678 7 6
768.728 8 7
769.299 7 6
769.469 6 5
769.488 5 4
769.697 4 3
770.288 3 2
771.799 4 3
773.42 5 4
773.809 4 3
774.813 5 4
774.989 4 3
775.919 3 2
777.385 4 3
778.055 3 2
778.152 4 3
778.635 5 4
781.221 6 5
781.364 5 4
782.23 4 3
782.515 5 4
783.362 6 5
783.849 5 4
784.115 6 5
784.138 7 6
784.877 6 5
785.081 5 4
786.386 4 3
786.555 5 4
786.616 6 5
786.99 7 6
787.628 8 7
787.927 7 6
787.941 8 7
789.354 9 8
789.523 8 7
789.725 7 6
789.845 8 7
790.337 7 6
791.01 8 7
791.315 9 8
791.588 10 9
791.591 9 8
792.284 8 7
792.307 7 6
792.324 8 7
792.915 7 6
794.076 8 7
794.762 7 6
795.45 8 7
795.522 7 6
795.704 6 5
795.857 7 6
796.525 8 7
797.144 7 6
797.568 6 5
798.837 7 6
798.843 6 5
798.892 7 6
799.12 6 5
800.114 5 4
800.135 4 3
800.399 3 2
801.514 2 1
801.519 3 2
801.793 2 1
801.954 3 2
802.282 4 3
802.893 5 4
803.055 6 5
803.191 7 6
803.763 6 5
804.003 7 6
804.021 8 7
805.108 7 6
805.322 6 5
805.728 5 4
806.424 4 3
806.732 5 4
807.049 4 3
807.318 3 2
808.267 4 3
808.39 3 2
809.188 2 1
809.291 1 0
809.503 0 0
809.865 1 0
810.298 0 0
811.443 1 0
812.943 0 0
814.366 1 0
815.259 0 0
815.492 1 0
815.67 2 1
816.232 3 2
816.284 2 1
816.457 1 0
816.679 0 0
818.541 1 0
818.893 2 1
820.262 1 0
821.212 2 1
821.347 3 2
821.617 4 3
822.21 5 4
822.522 4 3
823.303 3 2
823.327 2 1
823.48 1 0
823.489 2 1
825.226 1 0
826.302 0 0
827.137 1 0
827.338 2 1
827.775 1 0
828.734 2 1
829.339 1 0
829.509 2 1
830.479 1 0
830.628 2 1
830.725 1 0
830.83 2 1
831.378 1 0
831.592 0 0
831.677 1 0
831.894 0 0
832.584 1 0
832.821 0 0
833.558 1 0
833.877 0 0
834.81 1 0
834.939 0 0
835.123 1 0
835.135 0 0
838.361 1 0
838.839 2 1
839.086 1 0
839.464 2 1
840.786 1 0
841.525 2 1
842.024 3 2
842.141 2 1
842.203 1 0
842.682 0 0
842.737 1 0
842.884 0 0
844.968 1 0
845.069 2 1
845.732 1 0
845.973 2 1
847.47 1 0
847.531 2 1
847.707 3 2
848.959 2 1
849.07 3 2
849.694 2 1
849.778 1 0
850.425 0 0
850.849 1 0
851.823 0 0
852.493 1 0
853.086 2 1
853.39 1 0
853.755 2 1
854.714 1 0
856.325 2 1
856.941 1 0
858.841 2 1
859.325 1 0
859.626 0 0
859.818 1 0
859.839 2 1
860.001 1 0
860.76 0 0
860.813 1 0
861.722 2 1
861.876 1 0
862.104 2 1
862.656 1 0
862.973 2 1
863.411 3 2
863.558 4 3
863.983 5 4
864.181 4 3
864.414 3 2
865.93 4 3
865.938 3 2
866.244 2 1
866.254 1 0
866.349 2 1
867.516 1 0
867.742 2 1
868.486 3 2
868.795 4 3
868.9 5 4
868.936 6 5
869.318 5 4
870.328 4 3
870.821 5 4
870.969 4 3
871.407 3 2
871.741 4 3
872.107 5 4
872.298 4 3
873.496 3 2
873.53 2 1
873.731 3 2
873.784 4 3
873.852 5 4
873.89 4 3
873.902 5 4
874.268 6 5
874.653 5 4
875.051 6 5
875.699 5 4
876.157 6 5
876.749 7 6
876.927 6 5
878.468 7 6
879.09 6 5
879.342 5 4
879.382 4 3
879.717 5 4
879.725 6 5
879.997 5 4
880.759 6 5
881.243 5 4
881.714 6 5
881.956 5 4
882.674 6 5
883.218 7 6
883.422 8 7
883.761 9 8
883.795 10 9
883.866 9 8
884.496 10 9
885.903 9 8
885.904 10 9
886.556 11 10
887.072 10 9
888.126 9 8
888.72 8 7
888.881 9 8
888.912 10 9
889.28 11 10
889.853 10 9
892.169 9 8
892.508 8 7
892.8 9 8
892.932 10 9
893.002 9 8
893.175 10 9
893.227 9 8
893.701 8 7
893.984 9 8
